,formattedAddress,location,rating,businessStatus,userRatingCount,displayName,primaryTypeDisplayName,priceRange,websiteUri
0,"C. 27 117, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.894740499999997, 'longitude': -89.7314854}",5.0,OPERATIONAL,2.0,"{'text': 'Frappe shop suc san lorenzo', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
1,"C. 27 131, San Lorenzo, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8945503, 'longitude': -89.732288}",3.0,OPERATIONAL,5.0,"{'text': 'Panucheria Doña Yolí', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
2,"C. 20, Umán, 97390 Umán, Yuc., Mexico","{'latitude': 20.8915676, 'longitude': -89.73026759999999}",5.0,OPERATIONAL,1.0,"{'text': 'Taquería mi Angel', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
3,"Campeche-Mérida 11592, 97392 Mérida, Yuc., Mexico","{'latitude': 20.8941657, 'longitude': -89.69346639999999}",,OPERATIONAL,,"{'text': 'Barra andatti Gourmet Santa Cruz', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
4,"C. 40a 823c, Piedra de Agua, 97392 Umán, Yuc., Mexico","{'latitude': 20.9021989, 'longitude': -89.6958089}",,OPERATIONAL,,"{'text': 'Antojeria', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
5,"97300 San Marcos Sustentable, 97300 Mérida, Yuc., Mexico","{'latitude': 20.900779, 'longitude': -89.6664215}",5.0,OPERATIONAL,5.0,"{'text': 'NIÑOS SANTOS CAFÉ GOURMET', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
6,"Av. 41 No. 627-E x 34 y 36, Fracc Piedra de Agua, 97295 Umán, Yuc., Mexico","{'latitude': 20.892982399999998, 'longitude': -89.6705995}",,OPERATIONAL,,"{'text': 'La Familia Fit Club', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
7,"97295 Merida, Yucatan, Mexico","{'latitude': 20.898615600000003, 'longitude': -89.66505029999999}",4.5,OPERATIONAL,14.0,"{'text': ""Moheno's Café"", 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
8,"97297, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.8998015, 'longitude': -89.649911}",5.0,OPERATIONAL,1.0,"{'text': 'Cherry Whispers: Lushbar Coffee', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
9,"C. 191 1, Guadalupana, 97315 Mérida, Yuc., Mexico","{'latitude': 20.8954217, 'longitude': -89.63660670000002}",5.0,OPERATIONAL,4.0,"{'text': 'Cafeteria 191', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
10,"C. 179 522, Plan de Ayala II, 97285 Mérida, Yuc., Mexico","{'latitude': 20.900927199999998, 'longitude': -89.6207714}",4.5,OPERATIONAL,4.0,"{'text': 'Yo elijo Mara', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
11,"C. 50 entre Calle 171, Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9047751, 'longitude': -89.6184792}",5.0,OPERATIONAL,15.0,"{'text': 'Efrappé', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '1'}, 'endPrice': {'currencyCode': 'MXN', 'units': '100'}}",
12,"Municipio de Kanasín C 5b int 32 #291, frac Santa ana, 97376 Kanasin, Yuc., Mexico","{'latitude': 20.896414399999998, 'longitude': -89.5450458}",5.0,OPERATIONAL,1.0,"{'text': 'Nube', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
13,"C. 52 diag x 23 y 52a Núm 439F, Gran Calzada etapa 1, 97390 Umán, Yuc., Mexico","{'latitude': 20.917548300000004, 'longitude': -89.7138567}",,OPERATIONAL,,"{'text': 'Frappé Time', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,https://www.facebook.com/profile.php?id=100085277985557&mibextid=ZbWKwL
14,"C. 56 entre 23 y 23a, paseos de, Itzincab, 97392 Mérida, Yuc., Mexico","{'latitude': 20.9159579, 'longitude': -89.7026016}",,OPERATIONAL,,"{'text': 'Único cafetería', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
15,"97392 Paseos de, Itzincab, 97392 Umán, Yuc., Mexico","{'latitude': 20.9171628, 'longitude': -89.6955377}",4.7,OPERATIONAL,16.0,"{'text': 'Tulios repostería, coffee and snacks', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
16,"C. 31 40, Itzincab, 97392 Itzincab, Yuc., Mexico","{'latitude': 20.9123341, 'longitude': -89.6928306}",4.5,OPERATIONAL,2.0,"{'text': 'Waffleria la terraza', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
17,"71x 73, El Roble Agrícola, 97295 Mérida, Yuc., Mexico","{'latitude': 20.9075046, 'longitude': -89.67659359999999}",,OPERATIONAL,,"{'text': 'Taquería el tolok', 'languageCode': 'es'}","{'text': 'Restaurant', 'languageCode': 'en-US'}",,
18,"Calle 63-C 356 97255, entre 10 y 14, col roble, San Marcos Nocoh I, 97255 Mérida, Yuc., Mexico","{'latitude': 20.912180199999998, 'longitude': -89.673693}",5.0,OPERATIONAL,3.0,"{'text': 'Kapola Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,https://www.facebook.com/kapolacafe
19,"Calle 173 S.N, C. 173 S. N, entre Calle 90A, Sin Nombre de Col 18, 97297 Mérida, Yuc., Mexico","{'latitude': 20.906694299999998, 'longitude': -89.65199}",5.0,OPERATIONAL,3.0,"{'text': 'Frappés Patito', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
20,"Sin Nombre de Col 18, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9128664, 'longitude': -89.6540265}",4.5,OPERATIONAL,2.0,"{'text': 'Casita De Lis Y Noé', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
21,"C. 86 306A-x 153a y 155, Emiliano Zapata Sur II, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9178146, 'longitude': -89.6461065}",,OPERATIONAL,,"{'text': 'Dulce tentación', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
22,"C 86, C. 171-A Supermanzana lll entre 171 y 171a, emiliano zapata sur, 97297 Mérida, Yuc., Mexico","{'latitude': 20.907900899999998, 'longitude': -89.6485812}",,OPERATIONAL,,"{'text': 'DORADIITAS MID', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
23,"C. 157, Emiliano Zapata Sur II, 97297 Mérida, Yuc., Mexico","{'latitude': 20.916243899999998, 'longitude': -89.6444686}",5.0,OPERATIONAL,4.0,"{'text': 'Frappech', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
24,"C. 86 3480, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9123141, 'longitude': -89.64732289999999}",5.0,OPERATIONAL,5.0,"{'text': 'CHIFS Frappes & Snakcs', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '1'}, 'endPrice': {'currencyCode': 'MXN', 'units': '100'}}",
25,"C. 86 403A, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","{'latitude': 20.9122962, 'longitude': -89.6475708}",5.0,OPERATIONAL,2.0,"{'text': ""Snack's HAPPY BEAR"", 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
26,"C. 149 327, San José Tecoh II, 97298 Mérida, Yuc., Mexico","{'latitude': 20.9145741, 'longitude': -89.6355066}",4.7,OPERATIONAL,23.0,"{'text': 'Sabor y Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
27,"C. 145 288-56 y 58, San José Tecoh II, 97298 Mérida, Yuc., Mexico","{'latitude': 20.915677, 'longitude': -89.6317806}",,OPERATIONAL,,"{'text': 'Un café pendiente', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
28,"C. 50 427-A-por 167 y 179, Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9061089, 'longitude': -89.6188703}",5.0,OPERATIONAL,1.0,"{'text': 'Cafetería San Carlos', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
29,"Calle 161 E 238. Fracc. San José tzal, 97285 Mérida, Yuc., Mexico","{'latitude': 20.908770999999998, 'longitude': -89.616129}",,OPERATIONAL,,"{'text': 'MigueLilos Frappés & bites Sur. Suc. Fracc san josé tzal', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
30,"Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9070291, 'longitude': -89.6215666}",,OPERATIONAL,,"{'text': 'El rinconcito del tío chirley', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,https://www.facebook.com/marcos.hau.150632?mibextid=ZbWKwL
31,"C. 50ᴮ 321, Plan de Ayala Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.9080717, 'longitude': -89.6213667}",5.0,OPERATIONAL,1.0,"{'text': 'Lonchera Naomi', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
32,"C. 145 D 894, Villa Magna del Sur, 97285 Mérida, Yuc., Mexico","{'latitude': 20.917187, 'longitude': -89.6171001}",,OPERATIONAL,,"{'text': ""Buster's Frappés"", 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
33,"C. 42 370, 97370 San Antonio, Yuc., Mexico","{'latitude': 20.9117455, 'longitude': -89.6017901}",5.0,OPERATIONAL,2.0,"{'text': 'Malteadas y frappes la 42 x 21', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
34,"30k 673 depto 11 x 181c, Cielo alto, 97375 Mérida, Yuc., Mexico","{'latitude': 20.9093288, 'longitude': -89.5963113}",5.0,OPERATIONAL,1.0,"{'text': 'frappé TIME', 'languageCode': 'es'}","{'text': 'Cafeteria', 'languageCode': 'en-US'}",,
35,"Cielo alto, 97370 Kanasín, Yucatan, Mexico","{'latitude': 20.9111133, 'longitude': -89.59124650000001}",5.0,OPERATIONAL,1.0,"{'text': 'La Casa del Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
36,"Calle 5E #300-11 x 74 y, C. 74, Fraccionamiento Santa Ana, 97000 Mérida, Yuc., Mexico","{'latitude': 20.9093683, 'longitude': -89.570785}",5.0,OPERATIONAL,1.0,"{'text': 'Antojable MID', 'languageCode': 'es'}","{'text': 'Cafeteria', 'languageCode': 'en-US'}",,https://www.facebook.com/Antojablemid/
37,"C. 73 Supermanzana × 75 Manzana A "" # 485, col, Santa Isabel, 97373 Kanasín, Yuc., Mexico","{'latitude': 20.9182718, 'longitude': -89.57864350000001}",4.7,OPERATIONAL,41.0,"{'text': 'Sala de Eventos Sociales V I N T A G E', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
